crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
normal,5,Your karma is not strong enough to damage such a beast.,0,0,0,0,0,-1,0,0,0,,,
normal,10,It looked powerful but your foe did not even stumble.,1,0,0,0,0,-1,0,0,0,,,
normal,20,You are daunted by the beast's gaze and your aim fails.,3,0,0,0,0,-1,0,0,0,,,
normal,30,"The strike is powerful, but poorly placed. Remember, Focus.",5,0,0,0,0,-1,0,0,0,,,
normal,40,The attack lands well but seems only to scuff your foe's skin.,7,0,0,0,0,-1,0,0,0,,,
normal,50,Solid attack yields predictable damage.,10,0,0,0,0,-1,0,0,0,,,
normal,65,Weak attack to a vulnerable spot. Foe is enraged by the close call.,13,0,0,0,0,-1,0,0,0,,,
normal,66,Blast drives into foe's mouth. The concussion knocks him down and puts him into a coma for a month.,30,0,0,0,0,-1,0,0,0,,,
normal,70,Solid strike on foe's leg. Foe feels the assault.,15,0,0,0,0,-1,0,0,0,,,
normal,80,"Solid strike to foe's head hurts him, but he is still coming. If foe has head gear it is knocked off.",20,0,0,0,0,-1,0,0,0,,,
normal,90,Strong blast staggers your terrible foe. He is as surprised as you are at this success. He loses 6 rounds of initiative.,15,0,0,0,3,-1,0,0,0,,,
normal,95,"Hard and effective, your strike almost brings foe down. He stumbles, but does not fall.",20,0,0,0,2,-1,0,2,0,,,
normal,98,Strike lands and tears down into foe's neck. This vicious blast crushes foe's neck and shatters his spine. He falls unmoving and dies in 3 rounds.,0,0,0,0,0,-1,3,0,0,,,bones/nerves
normal,100,You step into the right spot and rip open foe's side. Your blow shatters some ribs. Foe dies in 6 painful rounds.,0,0,0,0,0,-1,6,0,0,,,bones/organs
normal,150,Glancing strike to foe's abdomen loses much of the impact on foe's hide.,30,0,0,0,3,-1,0,3,0,,,
normal,175,Your spell wounds deep and cuts muscles and tendons.,0,0,-20,0,5,-1,0,5,0,,,muscles/tendons
normal,200,Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged.,35,10,-35,0,0,-1,0,0,0,,,tendons
normal,250,"When your strike lands on foe's back, bones crackle and pop. Foe is paralyzed and in a 3 month coma.",50,0,0,0,0,-1,777600,0,0,,,bones/nerves
normal,2000,Foe lowers his eyes within your reach and you strike with great skill and fury. Foe dies instantly.,20,0,0,0,0,0,0,0,0,,,bones/nerves
slaying,5,Sparks fly. The enchantment fails. You had hoped for more damage.,5,0,0,0,0,-1,0,0,0,,,
slaying,10,Foe throws off the magic that threatens his very existance.,9,0,0,0,0,-1,0,0,0,,,
slaying,20,Strike lands solid. Foe howls out in pain and anger!,12,0,0,0,0,-1,0,0,0,,,
slaying,30,Chest strike leaves visible damage. Foe makes a futile attempt to brush it off.,15,0,0,0,0,-1,0,0,0,,,
slaying,40,Firm strike to foe's lower abdomen. Measurable damage has been done.,18,0,0,0,0,-1,0,0,0,,,
slaying,50,Your assault entangles foe's arm for an instant. Arm is bruised.,20,0,0,0,0,-1,0,0,0,,,
slaying,65,"Blow to foe's back. Foe's hide is tough, but much damage is done.",25,0,0,0,0,-1,0,0,0,,,
slaying,66,"Assaulting foe's very living essence, your strike lands upon his head. His life is stripped from him. He dies instantly.",0,0,0,10,0,0,0,0,0,,,
slaying,70,Attack hammers foe in his shield side. He is in much pain.,30,0,0,0,0,-1,0,0,0,,,
slaying,80,Etch a nasty wound in foe's chest over his vitals. He is upset greatly. You have initiative for 6 rounds.,12,0,0,0,3,-1,0,0,0,,,
slaying,90,Blow to foe's arm joint lands poorly. Foe will have a bruise. You think you know what went wrong.,25,0,0,0,3,-1,0,0,0,,,
slaying,95,You concentrate the energy of the strike and fracture foe's leg bone.,0,0,-30,0,2,-1,0,0,2,,,bones
slaying,98,You are a mighty enchanter. Your strike hits foe's chest and neck. His neck is broken. Foe drops and dies.,15,0,0,0,0,-1,0,0,0,,,
slaying,100,Perfect aim. Foe's carotid artery and jugular vein are torn open. Foe drops and dies in 3 rounds.,0,0,0,0,0,3,3,0,0,,,
slaying,150,Side strike. Attack careens down foe's chest and leg. Skin is torn away. Foe roars his defiance.,35,0,0,0,5,-1,0,5,0,,,
slaying,175,Fracture a bone in foe's forearm. It twists in a painful direction. His guard is down.,40,0,-25,0,6,-1,0,6,0,,,bones
slaying,200,He is knocked down and out. Ribs are shattered. The concussion causes internal bleeding.,0,10,-50,0,0,-1,0,0,0,,,organs
slaying,250,Assault causes mortal damage. Foe's organs fail. He is inacitve and dies after 3 rounds.,50,0,0,0,0,3,3,0,0,,,
slaying,2000,Impact of blast drives content of skull in all directions. Foe falls and flails around violently. He dies instantly.,0,0,0,0,0,0,0,0,0,,,
