crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
A,5,Cold breeze yields little damage.,0,0,0,0,0,-1,0,0,0,,,
A,10,Feeble and poorly directed. Foe is not really concerned.,1,0,0,0,0,-1,0,0,0,,,
A,15,Foe dodges your attack with too much effort. You have initiative.,2,0,0,0,0,-1,0,0,0,,,
A,20,Foe is fearful of your assault. Your attack gives you the initiative.,3,0,0,0,0,-1,0,0,0,,,
A,35,Burst of cold to the face sends foe stumbling back. You have initiative for 2 rounds.,4,0,0,0,0,-1,0,0,0,,,
A,45,Your attack freezes one of foe's metal items. Foe takes a defensive stance.,5,0,0,0,0,-1,0,0,1,,,
A,50,Scatter your attack all over foe's chest. Foe is covered with frost. He looks ghoulish.,6,0,0,0,0,-1,0,0,2,,,
A,55,Blow to foe's chest. Your attack has force and foe stumbles.,7,0,0,0,1,-1,0,0,0,,,
A,60,Strike falls on an exposed area. Foe gives ground. He is shaken but his guard is still up.,8,0,0,0,2,-1,0,0,0,,,
A,65,Well placed. Strike slams into foe's weapon arm. Foe's evasion is comical.,2,0,0,0,0,-1,0,0,1,arm,hits:9;stunned:1;no_parry:1,
A,66,Steal the heat from foe's neck and chest area. Foe drops anything he is holding and blocks his throat.,10,0,0,0,3,-1,0,3,0,,,
A,70,Score a hit to foe's side. It produces mild frostbite. Any herbs on foe's belt are ruined.,10,0,-5,0,1,-1,0,1,0,,,muscle
A,75,Strong unbalancing blast. Foe's body temperature drops.,11,0,-10,0,2,-1,0,0,0,,,muscle
A,80,Strike to foe's shield arm. If foe sees it he may block with a shield. Foe recoils 5 feet from the blast.,2,0,0,0,0,-1,0,0,2,shield,hits:12;stunned:2;no_parry:1,
A,85,Back blast. Any glass on back is broken. Painful bruise.,13,0,0,0,2,-1,0,0,2,,,muscle
A,90,"Assault to foe's lower leg freezes part of it. Foe falls down. Without leg armor, foot must be amputated.",0,0,-10x6,2,0,-1,0,0,0,,mod:-70,muscle
A,95,"Blow lands on foe's face. It freezes his nose, ears and cheeks. Foe collapses. Without helm, foe loses both ears.",0,0,0,0,3,-1,0,0,0,helm,stunned:6;mod:-50,organ
A,99,Chest strike sends foe over hard. He is knocked out. His lips freeze and split open. He cannot speak for 2 weeks.,0,0,0,0,9,-1,0,0,0,,,
A,100,Foe is sent into a month long coma by the attack. He loses his nose to frostbite.,21,0,0,0,0,-1,259200,0,0,,,organ
