crit,roll,description,hits,hits/rnd,mod,mod_attacker,stunned,die,ooo,no_parry,parry,cover,alternate,damage_type
normal,5,You strike the terrible beast hard. Your weapon breaks in half.,10,0,0,0,0,-1,0,0,0,,,
normal,10,A decoration pops off your weapon with impact to foe's side,2,0,0,0,0,-1,0,0,0,,,
normal,20,You are daunted by the beast's gaze and swing weakly.,3,0,0,0,0,-1,0,0,0,,,
normal,30,This terrible creature's hide deflects the strongest blows.,4,0,0,0,0,-1,0,0,0,,,
normal,40,Solid strike to foe's side with your common weapon fails to penetrate.,5,0,0,0,0,-1,0,0,0,,,
normal,50,Your strike was more of a last minute parry to avoid the beast's.,6,0,0,0,0,-1,0,0,0,,,
normal,65,"Two light and quick shots to foe's forearm, provides a modest result.",7,0,0,0,0,-1,0,0,0,,,
normal,66,Strike foe's neck with the flat of your weapon during a moment of opportunity.,20,0,0,0,0,-1,0,0,0,,,
normal,70,Solid strike on foe's leg. You move quickly away to avoid the retaliation.,8,0,0,0,0,-1,0,0,0,,,
normal,80,Solid strike to foe's head just bounces off.,9,0,0,0,0,-1,0,0,0,,,
normal,90,Violent strike to foe's forearm. Foe is bruised. Your weapon must make a breakage check.,10,0,0,0,0,-1,0,0,0,,,
normal,95,Well placed and hard. Try a vital spot next time.,15,0,0,0,0,-1,0,0,0,,,
normal,98,Blow severs vein and artery in foe's upper leg. He drops and dies after 12 inactive rounds. Awesome!,0,0,0,0,0,12,12,0,0,,,
normal,100,You step into the right spot and rip open foe's side. Your blow shatters some ribs. ,30,10,-25,0,0,-1,0,0,0,,,bone/muscle
normal,150,Glancing strike to foe's abdomen loses much of the impact on foe's hide.,12,1,0,10x1,0,-1,0,0,0,,,organ
normal,175,Your weapon wounds deep and cuts muscles and tendons. Foe's wound bleeds heavily.,20,5,-20,0,0,-1,0,0,0,,,muscle/tendons
normal,200,Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged.,15,0,-25,20x1,0,-1,0,0,0,,,tendons
normal,250,"When your strike lands on foe's back, bones crackle and pop. Internal damage is certain.",35,10,-30,0,2,-1,0,0,0,,,bones/organ
normal,2000,Foe lowers his eyes within your reach and you strike with great skill and fury. He is blinded.,20,0,-100,0,6,-1,0,6,0,,,organ
magic,5,Your weapon is knocked from your hand. It will take 2 rounds to recover.,10,0,0,0,0,-1,0,0,0,,,
magic,10,Your weapon hits at a bad angle. Check weapon strength check. Bum luck.,3,0,0,0,0,-1,0,0,0,,,
magic,20,"Your blow was deflected, but you gain the initiative next round.",4,0,0,0,0,-1,0,0,0,,,
magic,30,Glancing side blow. A spark of light reminds you your weapon is magical.,5,0,0,0,0,-1,0,0,0,,,
magic,40,Foe is unbalanced. You gain the initiative next round.,6,0,0,0,0,-1,0,0,0,,,
magic,50,You deal out a sharp and hard leg strike. Foe steps back to look at his leg.,7,0,0,0,0,-1,0,0,0,,,
magic,65,Blow to foe's back. Foe's hide is tough there. You need more strength.,8,0,0,0,0,-1,0,0,0,,,
magic,66,You step under foe's lunge and use the force against him. Strike to under belly. He feels the pain instantly.,12,3,-10,0,0,-1,0,0,0,,,organ
magic,70,Blow to thigh leaves a bad bruise. Your weapon cracks and bends. It will break after one more strike.,9,0,0,0,0,-1,0,0,0,,,
magic,80,Minor forearm wound.The beast used its forearm for defense. Foe soaks up the damage.,10,0,0,0,0,-1,0,0,0,,,
